"file_name","airline","reference_url","document_date","description"
"Spirit.pdf","Spirit Airlines","https://content.spirit.com/Shared/en-us/Documents/Contract_of_Carriage.pdf","2025-10-30","Spirit Airlines contract of carriage"
"UnitedAirlines.txt","United Airlines","https://www.united.com/en/pw/fly/contract-of-carriage.html","2025-01-22","United Airlines contract of carriage"
"Southwest.pdf","Southwest Airlines","https://www.southwest.com/swa-resources/pdfs/corporate-commitments/contract-of-carriage.pdf","2025-09-25","Southwest Airlines contract of carriage"
"HawaiianAirlines.pdf","Hawaiian Airlines","https://img.s-hawaiianairlines.com/static/files/legal/coc-full-text-clean-effective-01dec24.pdf","2025-12-01","Hawaiian Airlines contract of carriage"
"JetBlue.pdf","Jet Blue","https://www.jetblue.com/magnoliapublic/dam/ui-assets/p/contract_of_carriage.pdf","2025-06-27","Jet Blue contract of carriage"
"Delta-International.pdf","Delta Airlines","https://www.delta.com/us/en/legal/contract-of-carriage-igr","2025-03-13","Delta Airlines contract of carriage for international travel"
"Frontier.pdf","Frontier Airlines","https://www.flyfrontier.com/legal/contract-of-carriage","2025-07-28","Frontier Airlines contract of carriage"
"AlaskaAirlines.pdf","Alaska Airlines","https://www.alaskaair.com/content/legal/contract-of-carriage/view-all","2025-11-13","Alaska Airlines contract of carriage"
"AmericanAirlines.html","American Airlines","https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp","2025-06-27","American Airlines conditions of carriage"
"Delta-Domestic.pdf","Delta Airlines","https://www.delta.com/us/en/legal/contract-of-carriage-dgr","2025-10-08","Delta Airlines contract of carriage for domestic travel"
"AirCanada.pdf","Air Canada","https://www.aircanada.com/us/en/aco/home/legal/conditions-carriage-tariffs.html#/","2025-11-18","Air Canada conditions of carriage"
